tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
Between 1 and 5 years,8.0,My productivity is about same when I work remotely,1966,Other Services,Somewhat agree,Neither agree nor disagree,Strongly agree,100% - All of my time,No,907,0.0,8.0,Couple with no dependent children,0.0,0.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative ,Strongly agree,Between 1 and 4,8.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,0.0,Regional
Between 1 and 5 years,1.0,I’m 50% more productive when working remotely (or more),1987,Other Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,908,8.0,8.0,Single person,0.5,0.5,20%,20%,Female,Managers,Somewhat agree,More than 200,1.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,1.5,Metro
More than 5 years,6.0,I’m 50% more productive when working remotely (or more),1970,Other Services,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,Yes,909,10.0,12.0,Couple with dependent children,8.0,5.0,50% - I spent about half of my time remote working,80%,Male,Technicians and trades ,Somewhat agree,Between 5 and 19,4.0,Strongly agree,2.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Regional
More than 5 years,0.5,My productivity is about same when I work remotely,1973,Arts and Recreation Services,Somewhat agree,Somewhat agree,Strongly agree,30%,Yes,910,9.0,7.0,Couple with no dependent children,3.5,0.5,30%,30%,Male,Managers,Somewhat disagree,Between 5 and 19,7.0,Strongly agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.25,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1976,Education and Training,Strongly disagree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,Yes,911,8.0,10.0,Single person,3.0,3.0,20%,100% - All of my time,Male,Professionals,Strongly disagree,More than 200,3.0,Neither agree nor disagree,0.0,Strongly disagree,Somewhat agree,Neither agree nor disagree,2020,2.0,Regional
Between 1 and 5 years,3.0,I’m 30% more productive when working remotely,1978,"Professional, Scientific and Technical Services",Somewhat agree,Strongly agree,Strongly agree,80%,No,912,10.0,11.0,Couple with dependent children,10.0,3.0,Less than 10% of my time,30%,Female,Professionals,Somewhat agree,More than 200,10.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,2.0,My productivity is about same when I work remotely,1970,"Professional, Scientific and Technical Services",Strongly agree,Neither agree nor disagree,Strongly agree,90%,No,913,8.0,8.0,Other one family household,14.0,1.0,Rarely or never ,Less than 10% of my time,Male,Professionals,Strongly agree,More than 200,14.0,Strongly agree,0.0,Strongly agree,Somewhat agree,Neither agree nor disagree,2020,1.0,Regional
Between 1 and 5 years,3.0,I’m 30% less productive when working remotely,1956,Financial and Insurance Services,Somewhat agree,Neither agree nor disagree,Strongly agree,I would prefer not to work remotely ,No,914,7.5,7.5,Couple with dependent children,3.5,3.0,Less than 10% of my time,I would not have preferred to work remotely ,Male,Technicians and trades ,Somewhat agree,More than 200,3.5,Somewhat agree,0.1,Strongly agree,Strongly agree,Neither agree nor disagree,2020,0.6,Regional
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1975,Manufacturing,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,80%,No,915,6.0,9.5,Couple with dependent children,2.0,2.0,100% - I spent all of my time remote working,90%,Male,Managers,Neither agree nor disagree,More than 200,4.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,3.0,Metro
More than 5 years,0.5,My productivity is about same when I work remotely,1970,Information Media and Telecommunications,Neither agree nor disagree,Somewhat disagree,Somewhat agree,30%,Yes,916,6.0,7.0,Single person,0.5,0.5,Less than 10% of my time,30%,Male,Professionals,Neither agree nor disagree,More than 200,0.5,Neither agree nor disagree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
Between 1 and 5 years,1.0,I’m 10% less productive when working remotely,1974,Manufacturing,Strongly agree,Strongly agree,Strongly agree,40%,Yes,917,1.0,1.0,Couple with dependent children,1.0,1.0,10%,40%,Male,Managers,Strongly agree,Between 5 and 19,1.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly agree,2020,1.0,Metro
More than 5 years,1.0,I’m 20% less productive when working remotely,1968,Public Administration and Safety,Somewhat agree,Somewhat agree,Strongly agree,20%,Yes,918,8.0,8.0,Couple with no dependent children,3.0,1.0,Less than 10% of my time,20%,Male,Managers,Somewhat agree,More than 200,5.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,2.0,I’m 20% more productive when working remotely,1975,Health Care and Social Assistance,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,20%,Yes,919,7.0,7.0,Couple with dependent children,4.0,2.0,Rarely or never ,20%,Male,Professionals,Strongly disagree,Between 20 and 199,6.0,Somewhat agree,0.5,Somewhat disagree,Somewhat disagree,Somewhat agree,2020,1.5,Regional
More than 5 years,2.0,I’m 40% more productive when working remotely,1982,Health Care and Social Assistance,Somewhat agree,Somewhat disagree,Neither agree nor disagree,50% - About half of my time,No,920,10.0,10.0,Multiple family household,2.0,1.0,30%,30%,Female,Professionals,Somewhat disagree,Between 20 and 199,5.0,Strongly agree,0.0,Strongly agree,Neither agree nor disagree,Strongly agree,2020,2.0,Metro
More than 5 years,8.0,I’m 30% more productive when working remotely,1977,Education and Training,Neither agree nor disagree,Somewhat agree,Somewhat agree,80%,Yes,921,8.0,8.0,Single person,8.0,7.0,Less than 10% of my time,50% - About half of my time,Female,Managers,Neither agree nor disagree,Between 20 and 199,8.0,Neither agree nor disagree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,4.0,I’m 50% more productive when working remotely (or more),1972,"Professional, Scientific and Technical Services",Neither agree nor disagree,Neither agree nor disagree,Strongly agree,100% - All of my time,Yes,922,2.0,4.0,Couple with no dependent children,3.0,4.0,90%,90%,Female,Managers,Strongly agree,Between 1 and 4,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.5,Metro
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1972,Wholesale Trade,Strongly disagree,Strongly disagree,Strongly disagree,40%,No,923,8.0,7.0,One  parent family with dependent children,3.0,3.0,Rarely or never ,30%,Female,Sales ,Strongly disagree,Between 20 and 199,4.0,Strongly disagree,0.0,Strongly disagree,Strongly disagree,Somewhat agree,2020,4.0,Metro
More than 5 years,0.0,I’m 10% more productive when working remotely,1979,Other Services,Somewhat disagree,Somewhat disagree,Somewhat disagree,50% - About half of my time,No,924,8.0,8.0,Single person,1.0,1.0,Less than 10% of my time,50% - About half of my time,Female,Clerical and administrative ,Somewhat disagree,Between 5 and 19,0.0,Somewhat disagree,0.0,Somewhat disagree,Somewhat disagree,Somewhat agree,2020,1.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1978,Financial and Insurance Services,Strongly disagree,Strongly disagree,Strongly disagree,50% - About half of my time,Yes,925,6.0,8.0,Couple with dependent children,2.0,3.0,Rarely or never ,Less than 10% of my time,Female,Professionals,Strongly disagree,Between 20 and 199,3.0,Somewhat agree,0.0,Strongly disagree,Strongly disagree,Neither agree nor disagree,2020,3.0,Metro
More than 5 years,1.0,My productivity is about same when I work remotely,1974,Financial and Insurance Services,Neither agree nor disagree,Somewhat agree,Strongly agree,40%,No,926,7.5,7.5,Couple with dependent children,1.0,1.0,20%,40%,Male,Professionals,Somewhat agree,More than 200,1.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,0.5,Metro
More than 5 years,7.0,My productivity is about same when I work remotely,1983,"Transport, Postal and Warehousing",Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,Yes,927,8.0,8.0,Couple with dependent children,8.0,7.0,100% - I spent all of my time remote working,100% - All of my time,Male,Managers,Somewhat agree,More than 200,8.0,Somewhat agree,1.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,1.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1967,Manufacturing,Strongly agree,Strongly agree,Strongly agree,40%,Yes,928,7.5,7.5,Couple with dependent children,2.0,2.0,20%,30%,Male,Managers,Somewhat agree,Between 20 and 199,3.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,2020,2.5,Metro
Between 1 and 5 years,1.0,I’m 30% more productive when working remotely,1961,Other Services,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,70%,No,929,8.0,10.0,Couple with no dependent children,3.0,1.0,80%,70%,Male,Managers,Somewhat agree,Between 1 and 4,4.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Regional
More than 5 years,2.0,I’m 20% less productive when working remotely,1962,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,No,930,8.0,8.0,Couple with no dependent children,2.0,2.0,10%,10%,Female,Professionals,Somewhat agree,Between 1 and 4,2.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2020,0.5,Regional
Between 6 and 12 months,2.5,My productivity is about same when I work remotely,1971,"Professional, Scientific and Technical Services",Strongly disagree,Strongly disagree,Somewhat agree,50% - About half of my time,No,931,9.0,9.0,Single person,12.0,2.0,Rarely or never ,100% - All of my time,Male,Technicians and trades ,Strongly disagree,Between 20 and 199,12.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.0,Regional
More than 5 years,2.0,I’m 20% more productive when working remotely,1969,"Professional, Scientific and Technical Services",Somewhat disagree,Strongly disagree,,50% - About half of my time,No,932,6.5,5.0,Couple with no dependent children,4.0,1.0,20%,Less than 10% of my time,Female,Community and personal service ,Somewhat disagree,More than 200,8.0,,0.5,,,,2020,3.0,Metro
More than 5 years,1.5,My productivity is about same when I work remotely,1988,"Professional, Scientific and Technical Services",Somewhat agree,Somewhat agree,Strongly agree,I would prefer not to work remotely ,Yes,933,9.0,9.0,Couple with no dependent children,5.0,1.5,Rarely or never ,I would not have preferred to work remotely ,Female,Managers,Neither agree nor disagree,More than 200,6.0,Somewhat agree,0.0,Somewhat agree,Strongly agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,I’m 50% less productive when working remotely (or less),1937,Financial and Insurance Services,Somewhat disagree,Somewhat disagree,Strongly agree,I would prefer not to work remotely ,Yes,934,7.0,11.0,Couple with no dependent children,1.0,1.0,70%,I would not have preferred to work remotely ,Male,Professionals,Somewhat disagree,More than 200,9.0,Strongly disagree,2.0,Somewhat agree,Strongly disagree,Somewhat disagree,2020,1.0,Metro
More than 5 years,1.0,I’m 10% less productive when working remotely,1991,Retail Trade,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,60%,No,935,4.0,6.0,Other one family household,0.5,5.0,90%,80%,Female,Professionals,Neither agree nor disagree,Between 20 and 199,1.0,Somewhat agree,0.25,Strongly agree,Strongly agree,Strongly agree,2020,2.0,Metro
Between 1 and 5 years,0.0,I’m 50% more productive when working remotely (or more),1982,Public Administration and Safety,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,936,8.0,9.0,Other one family household,2.0,0.0,10%,20%,Female,Managers,Neither agree nor disagree,More than 200,2.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly agree,2020,3.0,Metro
Between 6 and 12 months,4.0,I’m 50% more productive when working remotely (or more),1981,Health Care and Social Assistance,Strongly agree,Strongly agree,Strongly agree,90%,No,937,7.5,7.5,Couple with dependent children,12.0,4.3,80%,90%,Female,Community and personal service ,Strongly agree,More than 200,12.4,Strongly agree,0.1,Strongly agree,Somewhat agree,Strongly agree,2020,0.2,Regional
More than 5 years,1.0,I’m 20% more productive when working remotely,1986,Education and Training,Neither agree nor disagree,Somewhat agree,Somewhat agree,90%,No,938,8.0,9.0,Couple with no dependent children,2.0,1.0,20%,30%,Male,Managers,Somewhat agree,More than 200,3.0,Somewhat agree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2020,2.0,Metro
More than 5 years,1.0,I’m 30% less productive when working remotely,1983,Information Media and Telecommunications,Strongly agree,Strongly agree,Strongly agree,40%,No,939,9.5,8.0,Couple with no dependent children,0.5,0.0,Less than 10% of my time,I would not have preferred to work remotely ,Male,Managers,Strongly agree,More than 200,1.5,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1981,Financial and Insurance Services,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20%,No,940,7.0,7.0,Couple with no dependent children,3.0,2.0,Less than 10% of my time,10%,Male,Professionals,Neither agree nor disagree,Between 5 and 19,5.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2020,1.0,Metro
More than 5 years,3.0,I’m 10% more productive when working remotely,1978,"Professional, Scientific and Technical Services",Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,Yes,941,9.0,8.0,Couple with dependent children,3.0,3.0,10%,10%,Male,Managers,Strongly agree,Between 20 and 199,4.0,Strongly agree,0.5,Strongly agree,Somewhat agree,Somewhat agree,2020,1.0,Metro
Between 1 and 5 years,2.0,My productivity is about same when I work remotely,1985,Financial and Insurance Services,Somewhat agree,Somewhat agree,Somewhat agree,90%,No,942,7.5,7.5,Couple with dependent children,2.0,1.0,Less than 10% of my time,90%,Female,Clerical and administrative ,Neither agree nor disagree,More than 200,3.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2020,1.5,Regional
Between 1 and 5 years,0.0,My productivity is about same when I work remotely,1968,"Professional, Scientific and Technical Services",Somewhat disagree,Somewhat disagree,Neither agree nor disagree,100% - All of my time,No,943,12.0,12.0,Single person,2.0,0.0,20%,50% - About half of my time,Male,Professionals,Somewhat disagree,More than 200,4.0,Neither agree nor disagree,0.5,Strongly agree,Strongly disagree,Somewhat agree,2020,2.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1959,Education and Training,Somewhat disagree,Somewhat disagree,,Less than 10% of my time,Yes,944,7.0,7.0,Couple with no dependent children,4.0,4.0,Less than 10% of my time,Less than 10% of my time,Female,Managers,Somewhat disagree,More than 200,4.0,,1.0,,,,2020,1.0,Regional
